candle_end_time,open,high,low,close,amount,info
2018-04-17,3812.870,3822.630,3745.440,3748.640,90610790.000,
2018-04-18,3785.310,3789.660,3708.110,3766.280,106676706.000,
2018-04-19,3774.780,3824.030,3767.800,3811.840,99054060.000,
2018-04-20,3801.210,3815.440,3750.100,3760.850,99282925.000,
2018-04-23,3754.690,3787.400,3735.180,3766.330,90356291.000,
2018-04-24,3769.880,3854.430,3769.880,3843.490,114219525.000,
2018-04-25,3824.590,3838.690,3817.030,3828.700,78172612.000,
2018-04-26,3823.390,3828.710,3744.890,3755.490,87150641.000,
2018-04-27,3771.040,3776.980,3714.640,3756.880,89531726.000,
2018-05-02,3769.930,3787.300,3744.550,3763.650,83301035.000,
2018-05-03,3756.170,3797.530,3732.370,3793.000,93961118.000,
2018-05-04,3784.320,3801.520,3770.940,3774.600,71554288.000,
2018-05-07,3782.540,3834.590,3776.030,3834.190,87286195.000,
2018-05-08,3834.610,3892.070,3833.730,3878.680,94215157.000,
2018-05-09,3876.130,3878.940,3855.740,3871.620,66712966.000,
2018-05-10,3882.840,3894.490,3867.310,3893.060,70667809.000,
2018-05-11,3902.150,3903.340,3871.950,3872.840,73356604.000,
2018-05-14,3886.870,3919.300,3886.870,3909.290,81975999.000,
2018-05-15,3920.140,3924.340,3892.920,3924.100,76049555.000,
2018-05-16,3909.820,3923.340,3889.190,3892.840,71913646.000,
2018-05-17,3895.490,3899.510,3858.850,3864.050,59030123.000,
2018-05-18,3860.160,3903.060,3841.900,3903.060,72613956.000,
2018-05-21,3925.540,3937.460,3913.600,3921.240,92641737.000,
2018-05-22,3918.820,3918.820,3881.170,3906.210,75368778.000,
2018-05-23,3898.270,3898.270,3854.580,3854.580,83722319.000,
2018-05-24,3853.290,3859.100,3823.920,3827.220,68345022.000,
2018-05-25,3823.740,3841.120,3804.140,3816.500,70836386.000,
2018-05-28,3816.260,3846.550,3799.320,3833.260,71521132.000,
2018-05-29,3824.190,3841.780,3800.670,3804.010,81552662.000,
2018-05-30,3755.180,3767.890,3722.070,3723.370,87913285.000,
2018-05-31,3749.300,3804.790,3742.530,3802.380,92666894.000,
2018-06-01,3789.670,3802.540,3753.840,3770.590,77821813.000,
2018-06-04,3785.190,3813.410,3776.620,3807.580,76624341.000,
2018-06-05,3811.290,3845.560,3800.930,3845.320,78687360.000,
2018-06-06,3839.680,3848.330,3830.900,3837.350,73117237.000,
2018-06-07,3846.940,3859.850,3827.690,3831.010,80256147.000,
2018-06-08,3819.450,3819.460,3759.270,3779.620,83337335.000,
2018-06-11,3770.210,3792.550,3756.510,3779.980,68709834.000,
2018-06-12,3783.190,3830.470,3765.260,3825.950,73206244.000,
2018-06-13,3814.620,3817.450,3782.070,3788.340,66377970.000,
2018-06-14,3774.640,3808.160,3759.250,3773.370,68471322.000,
2018-06-15,3763.040,3780.340,3737.430,3753.430,85488893.000,
2018-06-19,3702.670,3712.820,3583.020,3621.120,160706542.000,
2018-06-20,3602.550,3649.340,3578.170,3635.440,86718098.000,
2018-06-21,3633.560,3673.560,3589.490,3592.970,93908552.000,
2018-06-22,3567.890,3609.080,3542.460,3608.900,75117864.000,
2018-06-25,3625.800,3631.030,3559.030,3560.480,79877078.000,
2018-06-26,3521.590,3541.780,3478.210,3531.110,84985269.000,
2018-06-27,3525.130,3537.660,3441.780,3459.260,81491817.000,
2018-06-28,3434.940,3477.060,3416.950,3423.530,75918051.000,
2018-06-29,3431.960,3512.380,3425.220,3510.980,77257031.000,
2018-07-02,3504.460,3506.900,3383.500,3407.960,84351449.000,
2018-07-03,3410.480,3422.040,3319.290,3409.280,95278693.000,
2018-07-04,3398.780,3418.330,3359.090,3363.750,75157997.000,
2018-07-05,3365.550,3398.490,3330.710,3342.440,81587981.000,
2018-07-06,3347.060,3396.250,3295.730,3365.120,86097579.000,
2018-07-09,3378.910,3459.320,3378.910,3459.180,76601545.000,
2018-07-10,3464.910,3474.140,3437.270,3467.520,69548823.000,
2018-07-11,3398.930,3427.570,3375.140,3407.530,72040950.000,
2018-07-12,3403.330,3499.100,3403.330,3481.060,96353564.000,
2018-07-13,3488.500,3499.760,3474.910,3492.690,72955897.000,
2018-07-16,3488.970,3506.240,3459.730,3472.090,68281999.000,
2018-07-17,3466.420,3467.190,3420.970,3449.380,61983076.000,
2018-07-18,3456.610,3479.260,3430.160,3431.320,66530330.000,
2018-07-19,3444.800,3466.510,3417.960,3428.340,68477716.000,
2018-07-20,3426.460,3505.930,3398.950,3492.890,101984727.000,
2018-07-23,3471.860,3527.530,3464.650,3525.750,119036627.000,
2018-07-24,3530.660,3596.510,3530.660,3581.710,156912435.000,
2018-07-25,3589.510,3589.980,3566.310,3577.750,96758501.000,
2018-07-26,3583.320,3593.920,3528.640,3536.250,90349641.000,
2018-07-27,3533.770,3545.410,3512.700,3521.230,70178104.000,
2018-07-30,3520.850,3550.900,3489.550,3515.080,82116995.000,
2018-07-31,3510.470,3528.150,3493.150,3517.660,67980817.000,
2018-08-01,3530.030,3543.610,3446.780,3447.390,90348617.000,
2018-08-02,3434.350,3434.350,3322.100,3370.960,101308727.000,
2018-08-03,3366.660,3381.340,3315.200,3315.280,70796910.000,
2018-08-06,3312.820,3344.250,3257.690,3273.270,77975083.000,
2018-08-07,3284.980,3368.960,3263.500,3368.870,91783916.000,
2018-08-08,3362.150,3368.160,3311.770,3314.510,79284865.000,
2018-08-09,3303.480,3408.390,3299.620,3397.530,91957572.000,
2018-08-10,3398.410,3424.040,3380.570,3405.020,68967299.000,
2018-08-13,3369.980,3396.190,3336.700,3390.340,76191532.000,
2018-08-14,3386.480,3391.730,3356.610,3372.910,60651446.000,
2018-08-15,3371.960,3372.140,3288.710,3291.980,68174055.000,
2018-08-16,3251.860,3315.200,3231.560,3276.730,76547366.000,
2018-08-17,3305.900,3311.570,3224.100,3229.620,67395413.000,
2018-08-20,3238.220,3267.250,3209.010,3267.250,70904228.000,
2018-08-21,3271.840,3331.710,3270.030,3326.650,75205583.000,
2018-08-22,3328.970,3328.970,3299.390,3307.950,50787057.000,
2018-08-23,3308.460,3336.110,3285.810,3320.030,61112334.000,
2018-08-24,3308.480,3353.040,3291.870,3325.330,63765897.000,
2018-08-27,3339.390,3406.570,3339.260,3406.570,94270082.000,
2018-08-28,3408.150,3416.590,3388.810,3400.170,75445363.000,
2018-08-29,3393.050,3398.710,3377.120,3386.570,67020404.000,
2018-08-30,3385.810,3402.560,3349.470,3351.090,68385290.000,
2018-08-31,3333.380,3356.580,3310.870,3334.500,76205630.000,
2018-09-03,3320.690,3325.610,3291.780,3321.820,66429855.000,
2018-09-04,3324.190,3370.960,3307.960,3363.900,67088807.000,
2018-09-05,3349.700,3354.200,3298.140,3298.140,64301888.000,
2018-09-06,3286.660,3311.500,3253.760,3262.880,62300288.000,
2018-09-07,3273.890,3316.610,3253.730,3277.640,63947408.000,
2018-09-10,3271.380,3277.880,3227.850,3230.070,63817051.000,
2018-09-11,3229.710,3245.620,3209.110,3224.210,58491305.000,
2018-09-12,3216.990,3225.600,3194.980,3202.020,54627899.000,
2018-09-13,3239.690,3249.590,3191.400,3236.570,67290327.000,
2018-09-14,3242.830,3254.100,3227.940,3242.090,60130640.000,
2018-09-17,3224.930,3230.790,3200.510,3204.920,52259547.000,
2018-09-18,3193.640,3270.110,3193.640,3269.430,70425035.000,
2018-09-19,3262.000,3335.990,3258.310,3312.480,89170666.000,
2018-09-20,3314.880,3332.310,3303.070,3310.130,64561057.000,
2018-09-21,3320.700,3410.490,3307.770,3410.490,108416005.000,
2018-09-25,3375.970,3394.380,3367.030,3379.800,69054693.000,
2018-09-26,3388.560,3448.260,3383.240,3417.240,93173343.000,
2018-09-27,3415.950,3423.710,3394.730,3403.590,69765241.000,
2018-09-28,3409.960,3444.990,3404.700,3438.860,84377756.000,
2018-10-08,3361.560,3364.460,3285.250,3290.900,97888989.000,
2018-10-09,3290.170,3309.800,3276.130,3288.690,66723274.000,
2018-10-10,3295.430,3315.730,3256.580,3281.600,64492828.000,
2018-10-11,3179.540,3209.520,3099.040,3124.110,120941342.000,
2018-10-12,3123.370,3184.120,3094.970,3170.730,98611151.000,
2018-10-15,3173.850,3183.130,3120.230,3126.450,69605023.000,
2018-10-16,3128.580,3166.090,3089.370,3100.970,68887721.000,
2018-10-17,3140.680,3149.130,3062.550,3118.250,76837138.000,
2018-10-18,3097.790,3097.790,3043.380,3044.390,73771968.000,
2018-10-19,3017.750,3137.750,3009.500,3134.950,98839688.000,
2018-10-22,3159.560,3297.380,3159.560,3270.270,145862045.000,
2018-10-23,3273.130,3276.020,3163.570,3183.430,121013241.000,
2018-10-24,3169.460,3245.400,3164.290,3188.200,110909744.000,
2018-10-25,3107.840,3197.320,3099.890,3194.310,106951817.000,
2018-10-26,3204.280,3218.100,3151.920,3173.640,101299354.000,
2018-10-29,3157.490,3158.810,3062.580,3076.890,91839789.000,
2018-10-30,3061.930,3146.630,3050.770,3110.260,116070101.000,
2018-10-31,3116.660,3168.920,3106.030,3153.820,111207455.000,
2018-11-01,3185.200,3217.800,3173.100,3177.030,132653379.000,
2018-11-02,3258.610,3290.250,3222.440,3290.250,153466104.000,
2018-11-05,3269.470,3279.880,3230.360,3262.840,109706683.000,
